Title,Artist,Date,Medium,Dimensions,URL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
",Acquired through the generosity of Robert B. Menschel,252.2018,Photograph,Photography,2018-05-17,Y,283409,http://www.moma.org/collection/works/283409,http://www.moma.org/media/W1siZiIsIjQ2MzQyOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5546d7ef7a83b768,,,,152.2415544831,,,101.7589535179,,
Speech from the Museum in Progress project Gastarbajteri,Fatih Aydogdu,30857,(Turkish"," born 1963)""","sheet: 18 1/2 x 12 3/8"" (47 x 31.5 cm)",Linda Barth Goldstein Fund,514.2006.406,,,47.0,,,31.5,,
Poster of the French National Railroad,Album-miscellaneous,1900-1943,,,,,,,,,,,,
"Duplicate of The King and the Queen from The Large Glass and Related Works, Vol. II",Marcel Duchamp,1968,Etching and aquatint from the supplementary suite of eighteen etchings (seven with aquatint),"plate: 13 11/16 x 9 5/16"" (34.8 x 23.6cm); sheet: 19 7/8 x 12 13/16"" (50.5 x 32.5 cm)",,,,,34.8,,,23.6,,
Untitled,Ken Heyman,1962,Gelatin silver print,"16 1/2 × 11 1/2"" (41.9 × 29.2 cm)",http://www.moma.org/collection/works/50727,,,,41.9,,,29.2,,
Herbert Bayer letterhead (Letter to Piet Zwart),Herbert Bayer,1935,Letterpress,"10 5/8 × 8 1/4"" (27 × 21 cm)",http://www.moma.org/collection/works/198483,,,,26.9875539751,,,20.9550419101,,
The Freaks,H. C. Westermann,1978,Ink and watercolor on paper,"22 x 30 3/4"" (55.9 x 78.1 cm)
Bar Lavalle (esq. Rodriquez Pena),Facundo de Zuviría,74357,(Argentine","12 5/8 × 18 7/8"" (32.1 × 47.9 cm)",319.2018,Photograph,Photography,2018-05-17,Y,284646,http://www.moma.org/collection/works/284646,http://www.moma.org/media/W1siZiIsIjQzNzkwMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9672e847de240f77,
Stool,Reiko Tanabe,1961,Molded plywood with teak veneer,"14 1/4 x 17 x 17"" (36.2 x 43.2 x 43.2 cm)",http://www.moma.org/collection/works/4753,,43.1801,,36.1951,,,43.1801,,
Plate (page 123) from L'HISTOIRE TRAGIQUE DE ROMEO MONTECCHIO ET GIULIETTA CAPELLETTA,Mario Prassinos,1947,,"irreg. composition  9 7/16 x 7 5/16"" (24 x 18.6 cm)",,,,,24.0,,,18.6,,
Monsters are Inoffensive,"Roland Topor, Robert Filliou, Daniel Spoerri",1967,108 double-sided offset cards,"Sheet: 4 1/4 x 6 1/4"" (10.8 x 15.9 cm)",,,,,10.79502159,,,15.8750317501,,
Girl by Four Highways,Betty Hahn,1968,Hand-applied emulsion photograph,"14 3/4 × 22"" (37.5 × 55.8 cm)",http://www.moma.org/collection/works/45662,,,,37.5,,,55.8,,
Pictorial initial (page 140) from Les Petites Fleurs de St. François (The Little Flowers of St. Francis),Émile Bernard,1928,One from an illustrated book with 329 woodcuts,"composition (irreg.): 3 5/16 × 3 1/16"" (8.4 × 7.7 cm); page: 12 13/16 × 9 13/16"" (32.5 × 25 cm)",http://www.moma.org/collection/works/20323,,,,8.4,,,7.7,,
"“Frisches,” an exhibition in the apartment of Chris Reinecke and Jörg Immendorff, Düsseldorf",,"July 30, 1966",4 photos,,,,,,,,,,,
Piruli,Alfredo Zalce,1939,Oil on wood,"15 x 21 7/8"" (38.1 x 55.6 cm)",http://www.moma.org/collection/works/80378,,,,38.1,,,55.6,,
Untitled,Walker Evans,c. 1929,Gelatin silver print,"7 × 10 9/16"" (17.8 × 26.9 cm)",http://www.moma.org/collection/works/51276,,,,17.8,,,26.9,,
Highrise of Homes project (Plan),James Wines,1981,Ink on mylar,"36 x 48"" (91.4 x 121.9 cm)",http://www.moma.org/collection/works/190690,,,,91.4401828804,,,121.9202438405,,
"Corral, Pismo Beach",Edward Weston,1935,"Gelatin silver print, printed 1940","7 7/16 × 9 1/2"" (18.9 × 24.1 cm)",http://www.moma.org/collection/works/44902,,,,18.9,,,24.1,,
Farmer’s Child,August Sander,1919,Gelatin silver print,"10 3/16 × 7 3/8"" (25.8 × 18.7 cm)",http://www.moma.org/collection/works/193671,,,,,,,,,
The Stone,Philip Guston,1965,Ink on paper,"18 x 24"" (45.7 x 61 cm)",http://www.moma.org/collection/works/100247,,,,45.7201,,,60.9601,,
"GLUTTONY II (First supplementary suite, plate 11) from LES SEPT PÉCHÉS CAPITAUX, La Gourmandise",Marc Chagall,1925-1926,"Etching and drypoint, printed in color","plate  6 1/2 x 4 1/4"" (16.5 x 10.8 cm)",,,,,16.5,,,10.8,,
.d: ink and graphite on heavy weight paper
Tapestry No. 2: Photo of Bertorelli B. -- Tapestry (Detail 1) (Teppich Nr. 2: Foto von Bertorelli B. – Gobelin (Detail 1)),"Dieter Roth, Ingrid Wiener",1974,Color photograph on board with aluminum frame,"frame: 14 x 18"" (35.6 x 45.7 cm)",,,0.0,,35.5600711201,,,45.7200914402,,
",18 7/8 x 17 1/2"""" (47.9 x 44.5 cm)""",Purchased with funds provided by The Edward John Noble Foundation,http://www.moma.org/collection/works/104461,http://www.moma.org/media/W1siZiIsIjI1ODM4MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4d4b4328e14d09ba,,
G greatest show of worth from circus alphabet,Corita Kent (Sister Mary Corita),1968,One from a series of twenty-six screenprints,"composition: 22 7/16 × 22 1/2"" (57 × 57.1 cm); sheet: 23 1/16 × 23 1/16"" (58.6 × 58.6 cm)",http://www.moma.org/collection/works/157574,,,,57.0,,,57.1,,
Pauker (Poster advertising paper products),Mihály Biró,1911-12,Lithograph,"45 11/16 x 33 7/8"" (116.1 x 86.1 cm)",http://www.moma.org/collection/works/133921,,,,116.0782321565,,,86.1061722123,,
"Illinois Institute of Technology, Metallurgy and Chemical Engineering Building (Perlstein Hall), Chicago, Illinois, Perspective",Ludwig Mies van der Rohe,1945-46,Conté crayon on illustration board,30 x 40 (76.1 x 101.5 cm),http://www.moma.org/collection/works/768,,,,76.1,,,101.5,,
"Gulf Oil, Port Arthur, Texas",Edward Weston,1941,Gelatin silver print,"7 9/16 × 9 5/8"" (19.3 × 24.4 cm)",http://www.moma.org/collection/works/58446,,,,19.3,,,24.4,,
"Invitation for Ay-O's Rainbow Staircase Environment, 363 Canal Street, New York, November 20, 1965",Ay-O,1965,Folded offset lithograph,"5 3/4 x 2 3/16 x 13/16"" (14.6 x 5.5 x 2 cm)",http://www.moma.org/collection/works/131753,,2.0,,14.6,,,5.5,,
PRISON DE SAINTE PÉLAGIE DANS LE FOND. BÂTIMENTS DE LA PITIÉ,Eugène Atget,1898,Albumen silver print,,,,,,,,,,,
"Environment, Festival of Misfits, Gallery One and Institute of Contemporary Art, London, October 23-November 8, 1962",Arthur Köpcke,1962,Gelatin silver print,"Frame: 11 1/4 x 14 3/16 x 1"" (28.5 x 36.1 x 2.5 cm)",,,2.5,,28.5,,,36.1,,
Corsage Kit,Ken Friedman,1971,Cardboard box containing 95 sheets of printed paper and box of pins,"overall (box): 4 7/8 × 2 5/8 × 1"" (12.4 × 6.7 × 2.5 cm)",http://www.moma.org/collection/works/135222,,2.54000508,,12.382524765,,,6.667513335,,
Vertical Stripes White and Colored,"Daniel Buren, Harry Shunk, János Kender",1971,Gelatin silver print,"6 7/8 × 9 11/16"" (17.4 × 24.6 cm)",,,0.0,,17.7800355601,,,25.4000508001,,
Peddler,August Sander,1930,Gelatin silver print,"10 3/16 × 7 3/8"" (25.8 × 18.7 cm)",http://www.moma.org/collection/works/194195,,,,,,,,,
"Deya, Mallorca Day",Brett Whiteley,(1967),"Ink, cut paper, and pencil on paper","22 x 30"" (55.9 x 76.2 cm)",http://www.moma.org/collection/works/35073,,,,55.9,,,76.2,,
"Artificial-Silk Sales Office, (Offices of Erich Raemisch, Weiss, and von Stösser), Berlin, Germany, Office floor plan with furniture layout",Lilly Reich,1931,Pencil on tracing paper,"25 3/4 x 20 1/8"" (65.4 x 51.1 cm)",,,,,65.4051308103,,,51.1176022352,,
Headpiece (folio 10 verso) from LAISSES,René Pierre Tal-Coat,1975,"Woodcut, printed in black","irreg. composition  3 5/8 x 1 5/8"" (9.2 x 4.2 cm)",,,,,9.2,,,4.2,,
Untitled,Paul (Pavel Mansurov) Mansouroff,(1967),Portfolio of 12 lithographs,,,,,,,,,,,
Untitled,Francis Alÿs,2002,Black and white photograph,"8 x 10"" (20.3 x 25.4 cm)",http://www.moma.org/collection/works/134892,,0.0,,20.3200406401,,,25.4000508001,,
Untitled,Unknown photographer,c. 1938–60,Gelatin silver print,"Approx. 2 × 2"" (5.1 × 5.1 cm)",http://www.moma.org/collection/works/277323,,,,5.08001016,,,5.08001016,,
Composition,El Lissitzky,1922,Oil and tempera on wood,"27 3/8 x 24 1/4"" (69.7 x 61.7 cm)",http://www.moma.org/collection/works/80502,,,,69.7,,,61.7,,
The Fascinating Cypress (Le Fascinant cyprès) from Natural History (Histoire naturelle),Max Ernst,"c. 1925, published 1926",One from a portfolio of 34 collotypes after frottage,"composition: 16 7/8 × 10 3/16"" (42.8 × 25.8 cm); sheet: 19 9/16 × 12 11/16"" (49.7 × 32.3 cm)",http://www.moma.org/collection/works/94241,,,,49.7,,,32.3,,
L'Arpenteur,Jean Dubuffet,1960,Lithograph,,,,,,,,,,,
Love and Kisses,Louise Bourgeois,2007,"Etching, with hand additions","plate (in 2 vertical parts): 59 7/8 × 35 11/16"" (152.1 × 90.7 cm); sheet: 59 7/8 x 35 15/16"" (152.1 x 91.3 cm)",http://www.moma.org/collection/works/152939,,,,152.1,,,90.7,,
Hungry Ghosts,Lee Mullican,1964–65,Portfolio of twelve lithographs (including title page and colophon),"composition (see child records): dimensions vary; sheet (each approx.): 18 1/16 x 14"" (45.9 x 35.6 cm)",http://www.moma.org/collection/works/76786,,,,45.9,,,35.6,,
"Row House with White Steps, Baltimore, White Steps with Pail, Baltimore",Wright Morris,1939,Gelatin silver print,"7 × 9 1/2"" (17.8 × 24.2 cm)",,,,,17.8,,,24.2,,
"(each rope): 188"""" (477.5 cm)""","Edgar Kaufmann, Jr. Purchase Fund",http://www.moma.org/collection/works/2202,,,
Poster for Le Théâtre Total,Ben Vautier,c. 1964,Letterpress,"sheet: 15 5/8 × 15 5/8"" (39.7 × 39.7 cm)",http://www.moma.org/collection/works/136627,,,,39.7,,,39.7,,
No Title (Filling in so...),Raymond Pettibon,1991,Black and colored ink on paper,"13 1/2 x 10 3/8"" (34.2 x 26.3 cm)",http://www.moma.org/collection/works/33803,,,,34.3,,,26.4,,
",Gift of Dr. Mathias Boehringer,242.2014.x1-x2,Photograph,Photography,2014-05-08,Y,168890,http://www.moma.org/collection/works/168890,,,,,233.9979679959,,,164.1478282957,,
Ni znakhar'", ni bog,(Russian),(1893),(1930),Drawings & Prints,Y,30242,http://www.moma.org/collection/works/30242,http://www.moma.org/media/W1siZiIsIjI0NTM4MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1d428657fecac924,,,,17.0,
RUE CLOVIS,Eugène Atget,1899-1900,Albumen silver print,"Approx. 8 9/16 × 6 7/8"" (21.7 × 17.4 cm)",,,,,,,,,,
LMY Matches,La Monte Young,,,"5 1/4 x 1 3/4"" (13.3 x 4.5 cm)",,,,4.5,13.3,,,,,
Elegy Study I,Robert Motherwell,(1989),Lithograph,"sheet  30 1/4 x 61"" (76 x 155 cm)",http://www.moma.org/collection/works/60875,,,,76.0,,,155.0,,
La Brace delle Parole: 1981-1983,Piero Dorazio,1984,"Illustrated book with three screenprints 
Family Going for a Walk,Kenneth Armitage,224,(British"," 1916–2002)""",Acquired through the Lillie P. Bliss Bequest (by exchange),Sculpture,Painting & Sculpture,1953-01-30,Y,80736,http://www.moma.org/collection/works/80736,http://www.moma.org/media/W1siZiIsIjIwNzk3MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=003a3065100b3b03,,30.5
"Eskimos, Coppermine, N.W.T., Canada",Margaret Bourke-White,c. 1937,Gelatin silver print,"10 × 13 1/4"" (25.4 × 33.7 cm)",http://www.moma.org/collection/works/47053,,,,25.4,,,33.7,,
NOCES ET AUTRES HISTOIRES,Théodore (Stravinsky) Strawinsky,(1943),19 line block reproductions with pochoir additions after pen and ink drawings (including wrapper front),"page  8 7/8 x 6 1/8"" (22 x 15.5 cm)",,,,,22.0,,,15.5,,
"The Silence (plate, page 23) from Viaggio in Italia",Eugene Berman,1945-1951,Lithograph,"irreg. composition  10 x 8 9/16"" (25.4 x 21.8 cm)",,,,,25.4,,,21.8,,
Target,Jasper Johns,"1970–71, published 1971",Lithograph and rubber stamp with collage additions,"box composition  13 3/8 x 11 7/16 x 1 1/16"" (34 x 29 x 2.7 cm)
.2 (small knife): l. 7 1/4"" (18.4 cm) 
Quai des Célestins,Eugène Atget,229,(French","Approx. 8 11/16 × 7 1/16"" (22 × 18 cm)",1.1969.887,Photograph,Photography,1968-03-06,Y,43740,http://www.moma.org/collection/works/43740,http://www.moma.org/media/W1siZiIsIjI4NjI2OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=911df5a326d8a009,
Pictorial ornament (page 134) from POÈSIES ANTILLAISES,Henri Matisse,1946-1972,,"irreg. composition  11 5/8 x 5 5/8"" (29.6 x 14.3 cm)",,,,,29.6,,,14.3,,
"Untitled, no. 35 of 36, from the series, The Fragile",Louise Bourgeois,2007,Digital print,"sheet: 11 1/2 x 9 1/2"" (29.2 x 24.1 cm)",http://www.moma.org/collection/works/153289,,,,29.2,,,24.1,,
Reflection Studies,Jan Dibbets,1973,Chromogenic color print,"8 9/16 × 11 3/16"" (21.7 × 28.4 cm)
Fuck Me",(0),2007,Chromogenic color print,"59 1/2 × 49"" (151.1 × 124.5 cm)","Gift of Hasted Hunt, NYC",264.2009,Photograph,Photography,2009-02-09,N
Plate 4 (folio 9) from COUINQUE,Jean Dubuffet,1962,One from an illustrated book with seven engravings on celluloid,"plate  7 3/8 x 5 1/8"" (18.8 x 13.1 cm)",,,,,18.8,,,13.1,,
Plate 11 (suite of rejected etchings) from SAINTE MONIQUE,Pierre Bonnard,1920-1930,"Soft ground etching, printed in black","plate  6 15/16 x 4 3/4"" (17.6 x 12 cm)",,,,,17.6,,,12.0,,
Features from Currents,Robert Rauschenberg,1970,One from a portfolio of 26 screenprints,"composition: 35 1/16 × 35 1/16"" (89 × 89 cm); sheet: 40 × 40"" (101.6 × 101.6 cm)",http://www.moma.org/collection/works/205478,,,,89.0,,,89.0,,
Headpiece (page 343) from The Fables of Aesop,Thomas Bewick,1818,Wood engraving from an illustrated book with 323 wood engravings and one etching and engraving,"composition: 2 5/16 × 3 1/8"" (5.8 × 8 cm); page (irreg.): 8 1/4 × 5 5/16"" (21 × 13.5 cm)",http://www.moma.org/collection/works/21154,,,,5.8,,,8.0,,
"Casa Catán, Mexico City, Mexico (Armchair)",Teodoro González de León,1950–1953,Ink on vellum,"21 5/8 x 35 1/16"" (55 x 89 cm)",http://www.moma.org/collection/works/184911,,,,55.0,,,89.0,,
",MR5.98,Mies van der Rohe Archive,Architecture & Design,,N,87621,,,,,,88.9,,,105.4,,
Drawing from Zeno Writing,William Kentridge,7919,(South African"," born 1955)""","22 3/8 x 30"" (56.8 x 76.2 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,2042.2005.2,,,56.8326,,,76.2002,,
Untitled,Per Kirkeby,(1965),"Watercolor, gouache, and carbon paper transfer on paper","16 1/2 x 11 3/4"" (41.9 x 29.8 cm)",http://www.moma.org/collection/works/96370,,,,41.9101,,,29.8451,,
".7a: 1 7/8 x 3 5/8 x 3 5/8"""" (4.8 x 9.2 x 9.2 cm)"
",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,1469.2005,Drawing,Drawings & Prints,2005-05-10,Y,95721,http://www.moma.org/collection/works/95721,http://www.moma.org/media/W1siZiIsIjExNDQ1OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=85f760991db2ac31,,,,11.7475,,,9.525,,
Untitled from the portfolio FIVE LITHOGRAPHS,Esteban Vicente,6147,(American"," born Spain. 1903–2001)""","irreg composition  7 1/16 x 7 3/8"" (17.9 x 18.7 cm)","Gift of Kleiner, Bell & Co.",1066.1967.6,,,17.9,,,18.7,,
"Plate (volume II, folio 61 verso) from FORMULATION: ARTICULATION",Josef Albers,1970-1972,"Screenprint, printed in color","composition  10 x 17 5/8"" (25.5 x 44.8 cm)",,,,,25.5,,,44.8,,
"Café Deutschland/Lichtstudie, Café Germany/Light Study",Jörg Immendorff,(1979),Gouache on notebook paper,"11 5/8 x 16 1/2"" (29.5 x 41.9 cm)",http://www.moma.org/collection/works/96241,,,,29.5276,,,41.9101,,
Untitled,Alexander Calder,1946,Lithograph,"composition: 14 13/16 x 11 1/4"" (37.6 x 28.6 cm); sheet: 19 5/16 x 15 11/16"" (49 x 39.9 cm)",http://www.moma.org/collection/works/75267,,,,37.6,,,28.6,,
Untitled,U.S. Army Signal Corps,1944-45,Gelatin silver print,"7 15/16 × 10"" (20.3 × 25.4 cm)",,,,,20.3,,,25.4,,
Nervous Breakdown,"Black Flag, Raymond Pettibon",1978,7-inch vinyl record,"cover: 7 3/16 x 7 5/16 x 1/16"" (18.2 x 18.5 x 0.1 cm)",http://www.moma.org/collection/works/190993,,0.1,,18.2,,,18.5,,
Study for The City Rises,Umberto Boccioni,1910,"Conté crayon, charcoal, and chalk on paper","23 1/8 x 34 1/8"" (58.8 x 86.7 cm)",http://www.moma.org/collection/works/36544,,,,58.8,,,86.7,,
Waiting for Commercials,"Nam June Paik, Jud Yalkut",1966-1972/1992,"Video (color, sound)",6:41 min.,http://www.moma.org/collection/works/120523,,,,,,,,,0.0
"Downtown Morton, Mississippi",William Eggleston,c. 1969,Dye transfer print,"8 7/8 × 13 5/8"" (22.6 × 34.6 cm)",http://www.moma.org/collection/works/51318,,,,22.6,,,34.6,,
"Tailpiece (after André Mare, page 62) from ARCHITECTURES",André Chapon,1921,"Wood engraving, printed in black","irreg. composition  5 1/4 x 4"" (13.4 x 10.2 cm)",,,,,13.4,,,10.2,,
Untitled,Trisha Donnelly,2010,RC print,"Sheet 10 x 8"" (25.4 x 20.3 cm), image 7 1/2 x 7 1/2"" (19.1 x 19.1 cm)",http://www.moma.org/collection/works/140132,,,,25.4000508001,,,20.3200406401,,
"Cast of a frieze from the Susan Lawrence Dana House, Springfield, IL",Frank Lloyd Wright,1902–1904,Plaster,"14 1/4 x 7 1/4 x 1 1/2"" (36.2 x 18.4 x 3.8 cm)",http://www.moma.org/collection/works/162362,,3.81000762,,36.1950723901,,,18.4150368301,,
"Carte photo de mariés passant, Blois",Unknown photographer,c. 1910,Gelatin silver print,"Approx. 3 9/16 × 5 1/2"" (9 × 14 cm)",http://www.moma.org/collection/works/405241,,,,,,,,,
Frontispiece from AUCH DAS IST NUR EINE WOLKE,Jean (Hans) Arp,1951,,"irreg. composition  9 1/16 x 5 15/16"" (23.1 x 15.2 cm)",,,,,23.1,,,15.2,,
The Moment of the Jump,Willi Ruge,1931,Gelatin silver print,"5 9/16 × 8 1/16"" (14.2 × 20.4 cm)",,,,,14.2,,,20.4,,
"Allen Jones - Lithographs - Editions Alecto, London - November 1964",Allen Jones,1964,Screenprint,"40 1/4 x 25"" (102.2 x 63.5 cm)",http://www.moma.org/collection/works/8963,,,,102.2,,,63.5,,
Parked Island Barges on the Hudson,"Gordon Matta-Clark, Harry Shunk, János Kender",1971,Gelatin silver print,"6 9/16 × 9 11/16"" (16.6 × 24.6 cm)",http://www.moma.org/collection/works/176450,,0.0,,17.7800355601,,,25.4000508001,,
THE PURSUIT OF THE HOUSE-BOAT from the portfolio IN OUR TIME COVERS FOR A SMALL LIBRARY AFTER THE LIFE FOR THE MOST PART,R. B. Kitaj,1969-70,"One from a portfolio of fifty screenprints, some with collage additions","composition (irreg.): 19 3/4 x 13 1/4"" (50.2 x 33.7cm); sheet: 29 3/4 x 22 3/8"" (75.5 x 56.9cm)",http://www.moma.org/collection/works/63905,,,,50.2,,,33.7,,
In-text plate (page 78) from LYSISTRATA,František Kupka,1908-1911,"Etching, printed in color","irreg. composition  3 1/4 x 4 3/4"" (8.3 x 12.1 cm)",,,,,8.3,,,12.1,,
",Gift of Peter J. Cohen,486.2019,Photograph,Photography,2019-11-12,N,399983,,,,,,12.0,,,7.7,,
Photograph of Photograph,Jiro Takamatsu,5785,(Japanese"," 1936–1998)""","21 1/8 × 16 13/16"" (53.7 × 42.7 cm)","Samuel J. Wagstaff, Jr. Fund",377.2010,,,53.6576073152,,,42.7038354077,,
Title page from JOURNAL D'UN CHEVAL,Marc Chagall,1952,"Etching, printed in black","plate  7 13/16 x 7 7/8"" (19.8 x 20 cm)",,,,,19.8,,,20.0,,
"HARVEST OF THE DEAD, plate 63 (folio 65) from LOS DESASTRES DE LA GUERRA",Francisco de Goya,1810-1863,"Etching and aquatint, printed in color","plate  6 x 8 1/16"" (15.3 x 20.5 cm)",,,,,15.3,,,20.5,,
"Brownjohn, Chermayeff & Geismar Christmas Card","Robert Brownjohn, Ivan Chermayeff, Thomas Geismar",c.1957-1960,Lithograph,"7 1/2 x 9 1/2"" (19.1 x 24.1 cm)",http://www.moma.org/collection/works/152839,,,,19.0500381001,,,24.1300482601,,
"Untitled, from a series of portraits in the Zakopane region, Poland",Zofia Rydet,1978-88,Gelatin silver print,"9 3/16 × 11 13/16"" (23.4 × 30 cm)",http://www.moma.org/collection/works/44836,,,,23.4,,,30.0,,
The Kin-der-Kids Visit a Football Match and Piemouth Enjoys Himself from The Chicago Sunday Tribune,Lyonel Feininger,(August 19) 1906,Lithographed comic strip,"page: 23 3/8 x 17 13/16"" (59.4 x 45.3 cm)",http://www.moma.org/collection/works/102097,,,,59.4,,,45.3,,
City from America: The Third Century,Costantino Nivola,1975,"Lithograph and screenprint from a portfolio of five lithograph and screenprints, three collotypes, three screenprints, and two lithographs","composition (irreg.): 27 5/8 x 20 5/16"" (70.2 x 51.6cm); sheet: 30 x 22 3/16"" (76.2 x 56.3cm)",http://www.moma.org/collection/works/70198,,,,70.2,,,51.6,,
Topographie du Jardin / Des Tuileries,Eugène Atget,1912,Albumen silver print,,,,,,,,,,,
Keyboard Dances,Philip Corner,1963,Ink on paper,"sheet: 2 1/4 × 21 3/4"" (5.7 × 55.2 cm)",,,,,5.71501143,,,55.2451104902,,
Exhibition Art & Project,Joseph Kosuth,1969,Typewriting on 15 self-adhesive labels,composition and sheet (each): dimensions vary,http://www.moma.org/collection/works/109604,,,,5.1,,,9.0,,
Untitled,William Pettet,"March 19-24, 1970",Lithograph,"composition  23 x 26 1/2"" (58.5 x 67.4 cm)
Diagram of a Computer Chip,Intel Corporation",(),Ink on board,"30 x 30 1/2"" (76.2 x 77.5 cm)",Gift of Max Palevsky,454.1987,Design,Architecture & Design,1987-11-18,Y,3832
Present cabin life among the Sioux,Frances Benjamin Johnston,1899-1900,Platinum print,"7 1/2 × 9 1/2"" (19.1 × 24.1 cm)",http://www.moma.org/collection/works/57062,,,,19.1,,,24.1,,
La Sorbonne,Eugène Atget,1911-12,Albumen silver print,"Approx. 8 11/16 × 7 1/16"" (22 × 18 cm)",http://www.moma.org/collection/works/42447,,,,,,,,,
Werbe-Bau letterhead,Max Burchartz,1925-1926,Letterpress,"11 5/8 × 8 1/4"" (29.5 × 21 cm)",http://www.moma.org/collection/works/202126,,,,29.5275590551,,,20.9550419101,,
